x,y
0.00000000,0.12000000
0.04347826,0.13866305
0.08695652,0.10816395
0.13043478,0.13292607
0.17391304,0.15947383
0.21739130,0.13737773
0.26086957,0.17103163
0.30434783,0.20545936
0.34782609,0.19177607
0.39130435,0.23431658
0.43478261,0.27661969
0.47826087,0.27135901
0.52173913,0.32278083
0.56521739,0.37295488
0.60869565,0.37612660
0.65217391,0.43642429
0.69565217,0.49446497
0.73913043,0.50607888
0.78260870,0.57524686
0.82608696,0.64115002
0.86956522,0.66121588
0.91304348,0.73924844
0.95652174,0.81301008
1.00000000,0.84153765
